Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,20,0,1.0,24,48,25,-867.71,0.0,-34.71,0,5,-245.34,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,24,60,25,-867.71,0.0,-34.71,0,5,-245.34,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,12,24,28,-869.17,0.0,-31.04,0,6,-204.81,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,12,0,28,-869.25,0.0,-31.04,0,6,-204.82,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,12,48,28,-869.25,0.0,-31.04,0,6,-204.82,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,12,60,28,-869.25,0.0,-31.04,0,6,-204.82,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,24,24,26,-882.32,0.0,-33.94,0,5,-241.28,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,0,0,47,-883.33,2.13,-18.79,1,7,-115.56,14.29,1
Down,jma,6h,10,3.0,30,0,1.0,0,24,47,-883.33,2.13,-18.79,1,7,-115.56,14.29,1
Down,jma,6h,10,3.0,30,0,1.0,0,48,47,-883.33,2.13,-18.79,1,7,-115.56,14.29,1
Down,jma,6h,10,3.0,30,0,1.0,0,60,47,-883.33,2.13,-18.79,1,7,-115.56,14.29,1
Down,jma,6h,10,3.0,50,0,2.0,24,48,23,-898.83,13.04,-39.08,3,2,-84.86,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,24,0,23,-899.16,13.04,-39.09,3,2,-84.86,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,24,60,23,-899.28,13.04,-39.1,3,2,-84.86,0.0,0
Down,jma,6h,10,3.0,50,-50,None,12,48,23,-901.43,26.09,-39.19,6,2,-21.8,50.0,1
Down,jma,6h,10,3.0,50,-50,None,12,0,23,-901.43,26.09,-39.19,6,2,-21.8,50.0,1
Down,jma,6h,10,3.0,50,-50,None,12,60,23,-901.44,26.09,-39.19,6,2,-21.8,50.0,1
Down,jma,6h,10,3.0,30,-50,1.0,0,0,49,-909.94,0.0,-18.57,0,8,-141.47,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,0,48,49,-909.94,0.0,-18.57,0,8,-141.47,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,0,60,49,-909.94,0.0,-18.57,0,8,-141.47,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,0,24,49,-909.94,0.0,-18.57,0,8,-141.47,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,24,0,30,-912.93,0.0,-30.43,0,7,-221.78,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,24,48,30,-912.93,0.0,-30.43,0,7,-221.78,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,24,60,30,-912.93,0.0,-30.43,0,7,-221.78,0.0,0
Down,jma,6h,10,3.0,30,-50,1.0,24,24,31,-921.06,0.0,-29.71,0,7,-220.52,0.0,0
Down,jma,6h,10,3.0,20,50,1.5,0,0,50,-927.92,2.0,-18.56,1,7,-199.46,14.29,1
Down,jma,6h,10,3.0,20,50,1.5,0,24,50,-927.92,2.0,-18.56,1,7,-199.46,14.29,1
Down,jma,6h,10,3.0,20,50,1.5,0,48,50,-927.92,2.0,-18.56,1,7,-199.46,14.29,1
Down,jma,6h,10,3.0,20,50,1.5,0,60,50,-927.92,2.0,-18.56,1,7,-199.46,14.29,1
Down,jma,6h,10,3.0,30,0,None,0,0,47,-944.87,2.13,-20.1,1,7,-116.2,14.29,1
Down,jma,6h,10,3.0,30,0,None,0,24,47,-944.87,2.13,-20.1,1,7,-116.2,14.29,1
Down,jma,6h,10,3.0,30,0,None,0,48,47,-944.87,2.13,-20.1,1,7,-116.2,14.29,1
Down,jma,6h,10,3.0,30,0,None,0,60,47,-944.87,2.13,-20.1,1,7,-116.2,14.29,1
Down,jma,6h,10,3.0,20,50,2.0,0,0,50,-945.05,2.0,-18.9,1,7,-224.59,14.29,1
Down,jma,6h,10,3.0,20,50,2.0,0,24,50,-945.05,2.0,-18.9,1,7,-224.59,14.29,1
Down,jma,6h,10,3.0,20,50,2.0,0,48,50,-945.05,2.0,-18.9,1,7,-224.59,14.29,1
Down,jma,6h,10,3.0,20,50,2.0,0,60,50,-945.05,2.0,-18.9,1,7,-224.59,14.29,1
Down,jma,6h,10,3.0,30,0,2.0,0,0,47,-945.98,2.13,-20.13,1,7,-116.06,14.29,1
Down,jma,6h,10,3.0,30,0,2.0,0,24,47,-945.98,2.13,-20.13,1,7,-116.06,14.29,1
Down,jma,6h,10,3.0,30,0,2.0,0,48,47,-945.98,2.13,-20.13,1,7,-116.06,14.29,1
Down,jma,6h,10,3.0,30,0,2.0,0,60,47,-945.98,2.13,-20.13,1,7,-116.06,14.29,1
Down,jma,6h,10,3.0,20,50,None,0,0,50,-948.36,2.0,-18.97,1,7,-224.79,14.29,1
Down,jma,6h,10,3.0,20,50,None,0,24,50,-948.36,2.0,-18.97,1,7,-224.79,14.29,1
Down,jma,6h,10,3.0,20,50,None,0,48,50,-948.36,2.0,-18.97,1,7,-224.79,14.29,1
Down,jma,6h,10,3.0,20,50,None,0,60,50,-948.36,2.0,-18.97,1,7,-224.79,14.29,1
Down,jma,6h,10,3.0,20,0,None,24,24,24,-956.25,20.83,-39.84,5,3,-138.87,33.33,1
Down,jma,6h,10,3.0,30,0,1.5,0,0,47,-960.08,2.13,-20.43,1,7,-116.16,14.29,1
Down,jma,6h,10,3.0,30,0,1.5,0,24,47,-960.08,2.13,-20.43,1,7,-116.16,14.29,1
Down,jma,6h,10,3.0,30,0,1.5,0,48,47,-960.08,2.13,-20.43,1,7,-116.16,14.29,1
Down,jma,6h,10,3.0,30,0,1.5,0,60,47,-960.08,2.13,-20.43,1,7,-116.16,14.29,1
Down,jma,6h,10,3.0,20,-50,1.0,0,0,53,-961.16,0.0,-18.14,0,8,-131.77,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,0,24,53,-961.16,0.0,-18.14,0,8,-131.77,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,0,48,53,-961.16,0.0,-18.14,0,8,-131.77,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,0,60,53,-961.16,0.0,-18.14,0,8,-131.77,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,24,24,24,-963.98,4.17,-40.17,1,2,-65.93,0.0,0
Down,jma,6h,10,3.0,20,50,1.5,12,0,21,-965.42,4.76,-45.97,1,4,-321.47,0.0,0
Down,jma,6h,10,3.0,20,50,1.5,12,48,21,-965.42,4.76,-45.97,1,4,-321.47,0.0,0
Down,jma,6h,10,3.0,20,50,1.5,12,60,21,-965.42,4.76,-45.97,1,4,-321.47,0.0,0
Down,jma,6h,10,3.0,20,50,1.5,12,24,21,-965.44,4.76,-45.97,1,4,-321.52,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,24,48,24,-971.99,4.17,-40.5,1,2,-65.68,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,24,0,24,-972.01,4.17,-40.5,1,2,-65.68,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,24,60,24,-972.02,4.17,-40.5,1,2,-65.68,0.0,0
Down,jma,6h,10,3.0,30,50,1.5,0,0,45,-972.27,2.22,-21.61,1,8,-204.9,12.5,1
Down,jma,6h,10,3.0,30,50,1.5,0,24,45,-972.27,2.22,-21.61,1,8,-204.9,12.5,1
