symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-24 04:00:00+01:00,4.2402,2025-01-26T04:00:00+01:00,4.1788,1886.251000951976,2.8088911803124894,-30.122652667612886,18832.387356852145,"Time-based exit (4 bars, optimal=4)",444.8495356237857,2025-01-24T04:00:00+01:00,2025-01-26T04:00:00+01:00,4.2402,4.1788
BTC/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-24 04:00:00+01:00,103876.8,2025-01-26T16:00:00+01:00,104951.5,1883.2387356852146,2.839470967053948,16.644347067780537,18849.031703919925,"Time-based exit (5 bars, optimal=5)",0.018129541299743684,2025-01-24T04:00:00+01:00,2025-01-26T16:00:00+01:00,103876.8,104951.5
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-25 20:00:00+01:00,688.29,2025-01-27T20:00:00+01:00,664.96,1884.9031703919925,2.779437317845273,-66.66935430813287,18782.36234961179,"Time-based exit (4 bars, optimal=4)",2.738530518229224,2025-01-25T20:00:00+01:00,2025-01-27T20:00:00+01:00,688.29,664.96
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-25 21:00:00+01:00,8.176e-05,2025-01-27T21:00:00+01:00,7.695e-05,1878.236234961179,2.7344808541831767,-113.23247853230544,18669.129871079484,"Time-based exit (4 bars, optimal=4)",22972556.689838294,2025-01-25T21:00:00+01:00,2025-01-27T21:00:00+01:00,8.176e-05,7.695e-05
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-01-25 23:00:00+01:00,0.3728,2025-01-27T23:00:00+01:00,0.3743,1866.9129871079483,2.80600327119437,4.705717438735686,18673.83558851822,"Time-based exit (4 bars, optimal=4)",5007.813806620033,2025-01-25T23:00:00+01:00,2025-01-27T23:00:00+01:00,0.3728,0.3743
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-26 04:00:00+01:00,9.251,2025-01-28T04:00:00+01:00,8.966,1867.383558851822,2.7579283016649803,-60.2873104520022,18613.54827806622,"Time-based exit (4 bars, optimal=4)",201.8574812292533,2025-01-26T04:00:00+01:00,2025-01-28T04:00:00+01:00,9.251,8.966
ADA/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-26 04:00:00+01:00,0.9838,2025-01-28T04:00:00+01:00,0.9418,1861.354827806622,2.7324340743223456,-82.19665725777243,18531.351620808447,"Time-based exit (4 bars, optimal=4)",1892.0053138916671,2025-01-26T04:00:00+01:00,2025-01-28T04:00:00+01:00,0.9838,0.9418
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-27 13:00:00+01:00,2.8772,2025-01-30T01:00:00+01:00,3.0799,1853.1351620808448,2.877618380899434,127.67656532332225,18659.02818613177,"Time-based exit (5 bars, optimal=5)",644.0758939527474,2025-01-27T13:00:00+01:00,2025-01-30T01:00:00+01:00,2.8772,3.0799
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-27 20:00:00+01:00,664.96,2025-01-29T20:00:00+01:00,668.17,1865.902818613177,2.805609763644939,6.201771203252549,18665.229957335025,"Time-based exit (4 bars, optimal=4)",2.8060376843918085,2025-01-27T20:00:00+01:00,2025-01-29T20:00:00+01:00,664.96,668.17
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-27 20:00:00+01:00,3.7751,2025-01-29T20:00:00+01:00,3.7832,1866.5229957335025,2.8027881563374213,1.2020954932191326,18666.432052828244,"Time-based exit (4 bars, optimal=4)",494.430080192181,2025-01-27T20:00:00+01:00,2025-01-29T20:00:00+01:00,3.7751,3.7832
